X,Y,ZB,MATID,Area,ID
333148.5971,6287293.312,-22.89999,51,34948.2,1
333402.5316,6287269.426,-22.9,51,35956.32,2
333665.7042,6287269.45,-22.8999,51,42456.76,3
333935.6896,6287289.129,-22.9,51,40998.52,4
334210.6503,6287290.458,-22.89999,51,42974.74,5
334485.1552,6287304.65,-17.99999,51,45749.57,6
334735.6002,6287387.364,-16,51,44554.19,7
334958.2287,6287533.553,-14.62945,51,36547.93,8
335186.5511,6287663.33,-15,51,34372.62,9
335434.8906,6287760.419,-13.75726,51,35114.68,10
333117.5411,6287432.341,-13,51,28263.12,11
333324.4363,6287415.002,-13,51,28962.86,12
333464.738,6287437.043,-13,51,15299.29,13
333645.8137,6287421.278,-13,51,38857.43,14
333898.4077,6287438.313,-12,51,38526.41,15
334156.5271,6287443.227,-13,51,40463.77,16
334412.8996,6287462.042,-13,51,43005.65,17
334650.346,6287531.711,-13,51,43501.21,18
334869.9204,6287647.608,-13,51,37214.65,19
335019.275,6287759.54,-12.99999,51,13716.11,20
335192.5103,6287804.712,-13,51,32351.44,21
335427.515,6287892.591,-13,51,32858.13,22
333086.1756,6287575.349,-12,51,21939.06,23
333244.5849,6287564.768,-12,51,22391.9,24
333415.4408,6287562.386,-12,51,27539.94,25
333625.4591,6287576.306,-12,51,36900.25,26
333862.3649,6287592.628,-12,51,36509.55,27
334101.1853,6287601.088,-12,51,37837.46,28
334337.9098,6287623.953,-12,51,40093.51,29
334562.6779,6287683.378,-12,51,39574.92,30
334775.8373,6287770.935,-12,51,35584.39,31
334984.5658,6287865.282,-12,51,31696.61,32
335199.4532,6287949.507,-12,51,30513.88,33
335420.4231,6288028.726,-11.9229,51,30555.57,34
333065.5372,6287715.358,-7,51,18366.85,35
333197.8446,6287709.275,-7,51,18814.81,36
333346.5798,6287710.13,-7,51,24979.87,37
333549.9136,6287725.273,-7,51,37668.07,38
333791.7169,6287743.755,-7,51,37522.96,39
334034.9098,6287756.791,-7,51,38779.02,40
334275.5837,6287785.156,-7,51,41114.73,41
334506.7349,6287843.457,-7,51,40511.8,42
334730.063,6287920.475,-7,51,36736.57,43
334950.5657,6288002.435,-7,51,32912.2,44
335174.9396,6288080.776,-7.686247,51,31464.06,45
335402.4222,6288158.513,-8.612197,51,31251.73,46
333044.924,6287855.19,-3.029266,51,14794.44,47
333151.1585,6287853.61,-2.838822,51,15236.02,48
333277.7319,6287857.851,-2.105022,51,22417.57,49
333474.3707,6287874.246,-2.160493,51,38436.02,50
333721.0702,6287894.885,-1.404783,51,38539.59,51
333968.6334,6287912.495,-2.060809,51,39724.66,52
334213.2557,6287946.362,-1.602093,51,42135.83,53
334450.7936,6288003.536,-2.751078,51,41447.23,54
334684.2927,6288070.009,-3.326693,51,37890.13,55
334916.5676,6288139.586,-7,51,34130.11,56
335150.4217,6288212.046,-6.229501,51,32412.92,57
335384.4227,6288288.298,-7.617964,51,31944.36,58
333024.3642,6287994.678,-2.729553,51,11222.02,59
333104.5773,6287997.617,-2.12354,51,11658.72,60
333208.9004,6288005.532,-1.288058,51,19856.44,61
333398.8253,6288023.219,-0.5168639,51,39201.49,62
333650.4248,6288046.018,-0.5875459,51,39552.97,63
333902.3565,6288068.201,-1.240435,51,40666.19,64
334150.9302,6288107.57,-4.283981,51,43154.68,65
334394.8528,6288163.614,-1.129914,51,42382.56,66
334638.522,6288219.533,-2.515227,51,39041.47,67
334882.5709,6288276.73,-5.225394,51,35343.38,68
335125.9077,6288343.315,-5.820501,51,33360.46,69
335366.4248,6288418.081,-7.862508,51,32640.67,70
332603.3766,6288076.045,-1.252489,51,15260.54,71
332540.1934,6287958.762,-4.71752,51,18044.38,72
332476.9696,6287841.407,-7.231053,51,20829.32,73
332413.7209,6287724.001,-15,51,23613.39,74
332350.4548,6287606.568,-13,51,26395.96,75
332287.1758,6287489.111,-21.99997,51,29181.65,76
332704.1689,6288022.206,-0.824911,51,15410.25,77
332659.6205,6287896.157,-3.209681,51,18198.34,78
332615.0455,6287770.028,-6.547476,51,20987.43,79
332570.4513,6287643.85,-12,51,23774.87,80
332525.8468,6287517.641,-13,51,26562.19,81
332481.2326,6287391.405,-21.99991,51,29352.76,82
332814.0344,6287990.945,-1.411477,51,15037.49,83
332790.069,6287860.828,-0.616217,51,17864.84,84
332766.0853,6287730.622,-7,51,20691.59,85
332742.0947,6287600.359,-12,51,23518.42,86
332718.094,6287470.061,-13,51,26344.23,87
332694.0883,6287339.736,-22.89998,51,29171.84,88
332927.5617,6287986.997,-1.962427,51,15317.07,89
332924.6949,6287852.29,-2.751722,51,18182.91,90
332921.8269,6287717.506,-7,51,21046,91
332918.9569,6287582.676,-12,51,23911.37,92
332916.0891,6287447.809,-13,51,26775.97,93
332913.2175,6287312.921,-22.9,51,29639.41,94
332386.2575,6289056.174,-0.3290451,51,9270.052,95
332442.4439,6288952.121,-0.339939,51,10324.81,96
332498.5212,6288848.128,-0.3506261,51,11392.95,97
332525.356,6288760.753,-0.362461,51,6677.82,98
332575.4499,6288683.687,-0.361693,51,12134.46,99
332606.3302,6288572.45,-0.382763,51,9080.649,100
332629.0347,6288456.681,-0.5949778,51,6508.839,101
332244.7292,6289130.518,-0.3428879,51,15753.98,102
332305.9587,6288995.387,-0.359586,51,17057.01,103
332367.0383,6288860.412,-0.376192,51,18332.34,104
332427.0505,6288725.624,-0.3911278,51,19331.81,105
332483.7861,6288590.327,-0.396132,51,19188.65,106
332535.8518,6288453.381,-0.5187542,51,17260.19,107
332586.3834,6288314.516,-0.69402,51,14818.2,108
332520.2704,6288188.41,-1.224776,51,20433.07,109
332440.2339,6288072.374,-5.524149,51,21595.95,110
332360.2089,6287956.355,-7.559061,51,22760.74,111
332280.194,6287840.346,-14,51,23924.51,112
332200.1871,6287724.352,-20,51,25087.33,113
332120.1884,6287608.368,-18,51,26251.5,114
332448.4983,6288338.819,-0.51114,51,23012.26,115
332354.3496,6288216.533,-5.715569,51,24136.28,116
332260.2056,6288094.255,-7.781897,51,25262.11,117
332166.0654,6287971.978,-18,51,26387.92,118
332071.9289,6287849.704,-13,51,27512.78,119
331977.7951,6287727.438,-16,51,28638.52,120
332377.9523,6288491.104,-0.4352439,51,24957.15,121
332272.406,6288365.714,-6.179962,51,26042.9,122
332166.8614,6288240.327,-16,51,27128.31,123
332061.3185,6288114.939,-16,51,28214.91,124
331955.7772,6287989.555,-11,51,29300.35,125
331850.2371,6287864.172,-14,51,30386,126
332314.8034,6288647.168,-0.428457,51,23935.14,127
332210.346,6288530.512,-12,51,24506.82,128
332105.8949,6288413.861,-11.99995,51,25077.86,129
332016.498,6288358.067,-6.919357,51,11868.73,130
331953.732,6288244.845,-11.99999,51,25935.77,131
331849.2453,6288128.157,-12,51,26507.59,132
331744.7664,6288011.471,-12,51,27079.49,133
332252.6826,6288808.964,-0.411941,51,21998.42,134
332155.0994,6288704.263,-12,51,22302.52,135
332057.5162,6288599.561,-12,51,22605.34,136
331959.933,6288494.86,-6.597268,51,22907.82,137
331862.3495,6288390.162,-12,51,23210.64,138
331764.766,6288285.461,-10.50668,51,23514.86,139
331667.1831,6288180.759,-10.20195,51,23817.51,140
332188.4056,6288965.013,-0.391891,51,21497.3,141
332092.0916,6288864.305,-12,51,21709.72,142
331995.7782,6288763.596,-10,51,21922.31,143
331899.4644,6288662.888,-6.525331,51,22135.08,144
331803.1516,6288562.185,-12,51,22347.68,145
331706.8381,6288461.477,-10.4445,51,22559.96,146
331610.5248,6288360.768,-10.43311,51,22772.55,147
332124.6881,6289121.221,-5.604589,51,20806.98,148
332030.7793,6289024.829,-12,51,20943.93,149
331936.87,6288928.436,-7.59076,51,21080.28,150
331842.9615,6288832.05,-6.082616,51,21216.65,151
331749.0523,6288735.662,-12,51,21353.58,152
331655.1443,6288639.271,-10.29229,51,21490.43,153
331561.2355,6288542.878,-10.80325,51,21627.02,154
331396.539,6288703.863,-4.511288,51,18364.41,155
